network,station,channel,channel_type,orientation,sample_rate,reference_year
GE,LHMI,HHZ,HH,Z,100.0,2020
GE,LHMI,HHN,HH,N,100.0,2020
GE,LHMI,HHE,HH,E,100.0,2020
GE,LHMI,SHZ,SH,Z,50.0,2020
GE,LHMI,SHN,SH,N,50.0,2020
GE,LHMI,SHE,SH,E,50.0,2020
GE,LHMI,BHZ,BH,Z,20.0,2020
GE,LHMI,BHN,BH,N,20.0,2020
GE,LHMI,BHE,BH,E,20.0,2020
GE,LHMI,LHZ,LH,Z,1.0,2020
GE,LHMI,LHN,LH,N,1.0,2020
GE,LHMI,LHE,LH,E,1.0,2020
GE,LHMI,VHZ,VH,Z,0.1,2020
GE,LHMI,VHN,VH,N,0.1,2020
GE,LHMI,VHE,VH,E,0.1,2020
GE,LHMI,HLZ,HL,Z,100.0,2020
GE,LHMI,HLN,HL,N,100.0,2020
GE,LHMI,HLE,HL,E,100.0,2020
GE,LHMI,BLZ,BL,Z,20.0,2020
GE,LHMI,BLN,BL,N,20.0,2020
GE,LHMI,BLE,BL,E,20.0,2020
GE,LHMI,LLZ,LL,Z,1.0,2020
GE,LHMI,LLN,LL,N,1.0,2020
GE,LHMI,LLE,LL,E,1.0,2020
GE,LHMI,WKI,WK,I,0.1,2020
GE,LHMI,WII,WI,I,0.1,2020
GE,LHMI,WDI,WD,I,0.1,2020
GE,TOLI2,HHZ,HH,Z,100.0,2020
GE,TOLI2,HHN,HH,N,100.0,2020
GE,TOLI2,HHE,HH,E,100.0,2020
GE,TOLI2,SHZ,SH,Z,50.0,2020
GE,TOLI2,SHN,SH,N,50.0,2020
GE,TOLI2,SHE,SH,E,50.0,2020
GE,TOLI2,BHZ,BH,Z,20.0,2020
GE,TOLI2,BHN,BH,N,20.0,2020
GE,TOLI2,BHE,BH,E,20.0,2020
GE,TOLI2,LHZ,LH,Z,1.0,2020
GE,TOLI2,LHN,LH,N,1.0,2020
GE,TOLI2,LHE,LH,E,1.0,2020
GE,TOLI2,VHZ,VH,Z,0.1,2020
GE,TOLI2,VHN,VH,N,0.1,2020
GE,TOLI2,VHE,VH,E,0.1,2020
GE,TOLI2,HLZ,HL,Z,100.0,2020
GE,TOLI2,HLN,HL,N,100.0,2020
GE,TOLI2,HLE,HL,E,100.0,2020
GE,TOLI2,BLZ,BL,Z,20.0,2020
GE,TOLI2,BLN,BL,N,20.0,2020
GE,TOLI2,BLE,BL,E,20.0,2020
GE,TOLI2,LLZ,LL,Z,1.0,2020
GE,TOLI2,LLN,LL,N,1.0,2020
GE,TOLI2,LLE,LL,E,1.0,2020
GE,TOLI2,WKI,WK,I,0.1,2020
GE,TOLI2,WII,WI,I,0.1,2020
GE,TOLI2,WDI,WD,I,0.1,2020
GE,GSI,HHZ,HH,Z,100.0,2020
GE,GSI,HHN,HH,N,100.0,2020
GE,GSI,HHE,HH,E,100.0,2020
GE,GSI,SHZ,SH,Z,50.0,2020
GE,GSI,SHN,SH,N,50.0,2020
GE,GSI,SHE,SH,E,50.0,2020
GE,GSI,BHZ,BH,Z,20.0,2020
GE,GSI,BHN,BH,N,20.0,2020
GE,GSI,BHE,BH,E,20.0,2020
GE,GSI,LHZ,LH,Z,1.0,2020
GE,GSI,LHN,LH,N,1.0,2020
GE,GSI,LHE,LH,E,1.0,2020
GE,GSI,VHZ,VH,Z,0.1,2020
GE,GSI,VHN,VH,N,0.1,2020
GE,GSI,VHE,VH,E,0.1,2020
GE,GSI,HLZ,HL,Z,100.0,2020
GE,GSI,HLN,HL,N,100.0,2020
GE,GSI,HLE,HL,E,100.0,2020
GE,GSI,BLZ,BL,Z,20.0,2020
GE,GSI,BLN,BL,N,20.0,2020
GE,GSI,BLE,BL,E,20.0,2020
GE,GSI,LLZ,LL,Z,1.0,2020
GE,GSI,LLN,LL,N,1.0,2020
GE,GSI,LLE,LL,E,1.0,2020
GE,GSI,WKI,WK,I,0.1,2020
GE,GSI,WII,WI,I,0.1,2020
GE,GSI,WDI,WD,I,0.1,2020
GE,TNTI,HHZ,HH,Z,100.0,2020
GE,TNTI,HHN,HH,N,100.0,2020
GE,TNTI,HHE,HH,E,100.0,2020
GE,TNTI,SHZ,SH,Z,50.0,2020
GE,TNTI,SHN,SH,N,50.0,2020
GE,TNTI,SHE,SH,E,50.0,2020
GE,TNTI,BHZ,BH,Z,20.0,2020
GE,TNTI,BHN,BH,N,20.0,2020
GE,TNTI,BHE,BH,E,20.0,2020
GE,TNTI,LHZ,LH,Z,1.0,2020
GE,TNTI,LHN,LH,N,1.0,2020
GE,TNTI,LHE,LH,E,1.0,2020
GE,TNTI,VHZ,VH,Z,0.1,2020
GE,TNTI,VHN,VH,N,0.1,2020
GE,TNTI,VHE,VH,E,0.1,2020
GE,TNTI,HLZ,HL,Z,100.0,2020
GE,TNTI,HLN,HL,N,100.0,2020
GE,TNTI,HLE,HL,E,100.0,2020
GE,TNTI,BLZ,BL,Z,20.0,2020
GE,TNTI,BLN,BL,N,20.0,2020
GE,TNTI,BLE,BL,E,20.0,2020
GE,TNTI,LLZ,LL,Z,1.0,2020
GE,TNTI,LLN,LL,N,1.0,2020
GE,TNTI,LLE,LL,E,1.0,2020
GE,TNTI,WKI,WK,I,0.1,2020
GE,TNTI,WII,WI,I,0.1,2020
GE,TNTI,WDI,WD,I,0.1,2020
GE,SANI,HHZ,HH,Z,100.0,2020
GE,SANI,HHN,HH,N,100.0,2020
GE,SANI,HHE,HH,E,100.0,2020
GE,SANI,SHZ,SH,Z,50.0,2020
GE,SANI,SHN,SH,N,50.0,2020
GE,SANI,SHE,SH,E,50.0,2020
GE,SANI,BHZ,BH,Z,20.0,2020
GE,SANI,BHN,BH,N,20.0,2020
GE,SANI,BHE,BH,E,20.0,2020
GE,SANI,LHZ,LH,Z,1.0,2020
GE,SANI,LHN,LH,N,1.0,2020
GE,SANI,LHE,LH,E,1.0,2020
GE,SANI,VHZ,VH,Z,0.1,2020
GE,SANI,VHN,VH,N,0.1,2020
GE,SANI,VHE,VH,E,0.1,2020
GE,SANI,HLZ,HL,Z,100.0,2020
GE,SANI,HLN,HL,N,100.0,2020
GE,SANI,HLE,HL,E,100.0,2020
GE,SANI,BLZ,BL,Z,20.0,2020
GE,SANI,BLN,BL,N,20.0,2020
GE,SANI,BLE,BL,E,20.0,2020
GE,SANI,LLZ,LL,Z,1.0,2020
GE,SANI,LLN,LL,N,1.0,2020
GE,SANI,LLE,LL,E,1.0,2020
GE,SANI,WKI,WK,I,0.1,2020
GE,SANI,WII,WI,I,0.1,2020
GE,SANI,WDI,WD,I,0.1,2020
GE,SOEI,HHZ,HH,Z,100.0,2020
GE,SOEI,HHN,HH,N,100.0,2020
GE,SOEI,HHE,HH,E,100.0,2020
GE,SOEI,SHZ,SH,Z,50.0,2020
GE,SOEI,SHN,SH,N,50.0,2020
GE,SOEI,SHE,SH,E,50.0,2020
GE,SOEI,BHZ,BH,Z,20.0,2020
GE,SOEI,BHN,BH,N,20.0,2020
GE,SOEI,BHE,BH,E,20.0,2020
GE,SOEI,LHZ,LH,Z,1.0,2020
GE,SOEI,LHN,LH,N,1.0,2020
GE,SOEI,LHE,LH,E,1.0,2020
GE,SOEI,VHZ,VH,Z,0.1,2020
GE,SOEI,VHN,VH,N,0.1,2020
GE,SOEI,VHE,VH,E,0.1,2020
GE,SOEI,HLZ,HL,Z,100.0,2020
GE,SOEI,HLN,HL,N,100.0,2020
GE,SOEI,HLE,HL,E,100.0,2020
GE,SOEI,BLZ,BL,Z,20.0,2020
GE,SOEI,BLN,BL,N,20.0,2020
GE,SOEI,BLE,BL,E,20.0,2020
GE,SOEI,LLZ,LL,Z,1.0,2020
GE,SOEI,LLN,LL,N,1.0,2020
GE,SOEI,LLE,LL,E,1.0,2020
GE,PMBI,HHZ,HH,Z,100.0,2020
GE,PMBI,HHN,HH,N,100.0,2020
GE,PMBI,HHE,HH,E,100.0,2020
GE,PMBI,SHZ,SH,Z,50.0,2020
GE,PMBI,SHN,SH,N,50.0,2020
GE,PMBI,SHE,SH,E,50.0,2020
