station,channel_type,has_E,has_N,has_Z,sample_rates
BBJI,BL,True,True,True,20.0
BBJI,HH,True,True,True,100.0
BBJI,HL,True,True,True,100.0
BBJI,LH,True,True,True,1.0
BBJI,LL,True,True,True,1.0
BBJI,SH,True,True,True,50.0
BBJI,VH,True,True,True,0.1
BKB,BL,True,True,True,20.0
BKB,HH,True,True,True,100.0
BKB,HL,True,True,True,100.0
BKB,LH,True,True,True,1.0
BKB,LL,True,True,True,1.0
BKB,SH,True,True,True,50.0
BKB,VH,True,True,True,0.1
BKNI,BL,True,True,True,20.0
BKNI,HH,True,True,True,100.0
BKNI,HL,True,True,True,100.0
BKNI,LH,True,True,True,1.0
BKNI,LL,True,True,True,1.0
BKNI,SH,True,True,True,50.0
BKNI,VH,True,True,True,0.1
BNDI,BL,True,True,True,20.0
BNDI,HH,True,True,True,100.0
BNDI,HL,True,True,True,100.0
BNDI,LH,True,True,True,1.0
BNDI,LL,True,True,True,1.0
BNDI,SH,True,True,True,50.0
BNDI,VH,True,True,True,0.1
FAKI,BL,True,True,True,20.0
FAKI,HH,True,True,True,100.0
FAKI,HL,True,True,True,100.0
FAKI,LH,True,True,True,1.0
FAKI,LL,True,True,True,1.0
FAKI,SH,True,True,True,50.0
FAKI,VH,True,True,True,0.1
GENI,BL,True,True,True,20.0
GENI,HH,True,True,True,100.0
GENI,HL,True,True,True,100.0
GENI,LH,True,True,True,1.0
GENI,LL,True,True,True,1.0
GENI,SH,True,True,True,50.0
GENI,VH,True,True,True,0.1
GSI,BL,True,True,True,20.0
GSI,HH,True,True,True,100.0
GSI,HL,True,True,True,100.0
GSI,LH,True,True,True,1.0
GSI,LL,True,True,True,1.0
GSI,SH,True,True,True,50.0
GSI,VH,True,True,True,0.1
JAGI,BL,True,True,True,20.0
JAGI,HH,True,True,True,100.0
JAGI,HL,True,True,True,100.0
JAGI,LH,True,True,True,1.0
JAGI,LL,True,True,True,1.0
JAGI,SH,True,True,True,50.0
JAGI,VH,True,True,True,0.1
LHMI,BL,True,True,True,20.0
LHMI,HH,True,True,True,100.0
LHMI,HL,True,True,True,100.0
LHMI,LH,True,True,True,1.0
LHMI,LL,True,True,True,1.0
LHMI,SH,True,True,True,50.0
LHMI,VH,True,True,True,0.1
LUWI,BL,True,True,True,20.0
LUWI,HH,True,True,True,100.0
LUWI,HL,True,True,True,100.0
LUWI,LH,True,True,True,1.0
LUWI,LL,True,True,True,1.0
LUWI,SH,True,True,True,50.0
LUWI,VH,True,True,True,0.1
MMRI,BL,True,True,True,20.0
MMRI,HH,True,True,True,100.0
MMRI,HL,True,True,True,100.0
MMRI,LH,True,True,True,1.0
MMRI,LL,True,True,True,1.0
MMRI,SH,True,True,True,50.0
MMRI,VH,True,True,True,0.1
MNAI,BL,True,True,True,20.0
MNAI,HH,True,True,True,100.0
MNAI,HL,True,True,True,100.0
MNAI,LH,True,True,True,1.0
MNAI,LL,True,True,True,1.0
MNAI,SH,True,True,True,50.0
MNAI,VH,True,True,True,0.1
PLAI,BL,True,True,True,20.0
PLAI,HH,True,True,True,100.0
PLAI,HL,True,True,True,100.0
PLAI,LH,True,True,True,1.0
PLAI,LL,True,True,True,1.0
PLAI,SH,True,True,True,50.0
PLAI,SL,True,True,True,50.0
PLAI,VH,True,True,True,0.1
PMBI,BL,True,True,True,20.0
PMBI,HH,True,True,True,100.0
PMBI,HL,True,True,True,100.0
PMBI,LH,True,True,True,1.0
PMBI,LL,True,True,True,1.0
PMBI,SH,True,True,True,50.0
PMBI,SL,True,True,True,50.0
PMBI,VH,True,True,True,0.1
SANI,BL,True,True,True,20.0
SANI,HH,True,True,True,100.0
SANI,HL,True,True,True,100.0
SANI,LH,True,True,True,1.0
SANI,LL,True,True,True,1.0
SANI,SH,True,True,True,50.0
SANI,VH,True,True,True,0.1
SAUI,BL,True,True,True,20.0
SAUI,HH,True,True,True,100.0
SAUI,HL,True,True,True,100.0
SAUI,LH,True,True,True,1.0
SAUI,LL,True,True,True,1.0
SAUI,SH,True,True,True,50.0
SAUI,VH,True,True,True,0.1
SMRI,BL,True,True,True,20.0
SMRI,HH,True,True,True,100.0
SMRI,HL,True,True,True,100.0
SMRI,LH,True,True,True,1.0
SMRI,LL,True,True,True,1.0
SMRI,SH,True,True,True,50.0
SMRI,VH,True,True,True,0.1
SOEI,BL,True,True,True,20.0
SOEI,HH,True,True,True,100.0
SOEI,HL,True,True,True,100.0
SOEI,LH,True,True,True,1.0
SOEI,LL,True,True,True,1.0
SOEI,SH,True,True,True,50.0
SOEI,VH,True,True,True,0.1
TNTI,BL,True,True,True,20.0
TNTI,HH,True,True,True,100.0
TNTI,HL,True,True,True,100.0
TNTI,LH,True,True,True,1.0
TNTI,LL,True,True,True,1.0
TNTI,SH,True,True,True,50.0
TNTI,VH,True,True,True,0.1
TOLI2,BL,True,True,True,20.0
TOLI2,HH,True,True,True,100.0
TOLI2,HL,True,True,True,100.0
TOLI2,LH,True,True,True,1.0
TOLI2,LL,True,True,True,1.0
TOLI2,SH,True,True,True,50.0
TOLI2,VH,True,True,True,0.1
UGM,BL,True,True,True,20.0
UGM,HH,True,True,True,100.0
UGM,HL,True,True,True,100.0
UGM,LH,True,True,True,1.0
UGM,LL,True,True,True,1.0
UGM,SH,True,True,True,50.0
UGM,SL,True,True,True,50.0
UGM,VH,True,True,True,0.1
